Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;48600;Agricultural Engr Design;202420;Spring 2024;002;11761;Lumkes, John H.;36.8%;21.1%;10.5%;;10.5%;5.3%;;5.3%;;5.3%;5.3%;;;;;;;;;;;;;
;;50100;Welding Engineering;202420;Spring 2024;001;20019;Rakita, Milan;81.8%;;9.1%;;;;;9.1%;;;;;;;;;;;;;;;;
;;55800;Process Design Food & Bio Syst;202420;Spring 2024;001;16001;Okos, Martin R.;9.7%;4.8%;;;37.1%;6.5%;12.9%;9.7%;6.5%;6.5%;;;1.6%;;1.6%;3.2%;;;;;;;;
;;58000;Proc Engr Of Ren Res;202420;Spring 2024;001;13091;Mosier, Nathan S.;24.3%;;;;37.8%;;;25.7%;;;9.5%;;;;2.7%;;;;;;;;;
;;59100;Mach Learning IoT & Comp Sys;202420;Spring 2024;038;28022;Chaterji, Somali;27.3%;27.3%;27.3%;;9.1%;;;;;;;;;;;;;;;;;;9.1%;
;;65100;Environmental Informatics;202420;Spring 2024;001;15495;Cherkauer, Keith A.;36.8%;10.5%;15.8%;;5.3%;;10.5%;;;5.3%;;;;;;;;;;;;;15.8%;
;;69600;Graduate Seminar;202420;Spring 2024;001;11431;Porterfield, D. M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
AD;AD-Art & Design;10500;Design I;202420;Spring 2024;001;68776;Song, So Young;33.3%;13.3%;6.7%;;13.3%;6.7%;13.3%;6.7%;;;;;;;;;;;;;;;6.7%;
;;;;;;002;64613;Song, So Young;21.4%;21.4%;;;7.1%;7.1%;35.7%;;;;;;;;;;;;;;;;7.1%;
;;;;;;003;68777;Hitselberger, Brian J.;28.6%;21.4%;7.1%;;7.1%;14.3%;7.1%;;;;;;;;;;;;;;;;14.3%;
;;;;;;004;10220;Wang, Canwen;12.5%;31.3%;6.3%;;;6.3%;12.5%;6.3%;;;;;12.5%;;;;;;;;;;12.5%;
;;;;;;005;30551;Wang, Canwen;20.0%;33.3%;;;6.7%;;6.7%;;6.7%;;6.7%;;6.7%;;;;;;;;;;13.3%;
;;10600;Design II;202420;Spring 2024;001;20544;Sha, Kexin;50.0%;12.5%;31.3%;;;;6.3%;;;;;;;;;;;;;;;;;
;;;;;;002;20545;Sha, Kexin;43.8%;12.5%;43.8%;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;20546;McLaughlin, Madeline S.;6.7%;33.3%;13.3%;;;6.7%;40.0%;;;;;;;;;;;;;;;;;
;;;;;;004;20547;Safari, Golnaz;35.7%;28.6%;;;7.1%;;7.1%;;14.3%;;;;;;7.1%;;;;;;;;;
;;;;;;005;20548;Wang, Yuelin;;21.4%;;;14.3%;;42.9%;;;;7.1%;;;;7.1%;;;;;;;;7.1%;
;;;;;;006;20549;Wang, Yuelin;7.7%;23.1%;;;;23.1%;15.4%;7.7%;;;;;7.7%;;7.7%;;;;;;;;7.7%;
;;;;;;007;20550;Zhuo, Na;50.0%;14.3%;7.1%;;;;7.1%;7.1%;7.1%;;;;;;7.1%;;;;;;;;;
;;;;;;008;25660;McLaughlin, Madeline S.;37.5%;25.0%;18.8%;;6.3%;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;009;25661;Zhuo, Na;61.5%;15.4%;23.1%;;;;;;;;;;;;;;;;;;;;;
;;11300;Basic Drawing;202420;Spring 2024;001;10210;Nielsen, Zoe N.;12.5%;;25.0%;;18.8%;;6.3%;;;6.3%;;;;;6.3%;6.3%;;;;;;;18.8%;
